route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"0-75-y12-1","1","1009.972.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1038.972.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1026.974.0-75-y12-1.81.I","0-75-y12-1.81.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1070.975.0-75-y12-1.82.I","0-75-y12-1.82.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1076.977.0-75-y12-1.83.I","0-75-y12-1.83.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1055.977.0-75-y12-1.83.I","0-75-y12-1.83.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1015.977.0-75-y12-1.83.I","0-75-y12-1.83.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1017.978.0-75-y12-1.83.I","0-75-y12-1.83.I","Queen's Road - The Square","1"
"0-114-y12-1","1","995.1092.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","998.1092.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","2349.1096.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","2345.1097.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","2353.1097.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","2347.1097.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","985.1099.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","987.1099.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","989.1099.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","2339.1100.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","991.1100.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
"0-114-y12-1","1","2341.1100.0-114-y12-1.92.O","0-114-y12-1.92.O","Simons Ridge - Train Station","0"
